Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
JC MITCHELL,10,Kansas City,A,1.0,,,,,,,,,Denver,Colorado,President,Denver National Bank,Banking,W,M,1858,57,,,,,,,,1915,1924,,JC,,MITCHELL,,,
FRED W FLEMING,10,Kansas City,C Dep. Chair,,,,,,,,,,Kansas City,Missouri,President,Central Surety and Insurance Corporation,Financial Services (non-banking),W,M,1867,48,,,,,,,,1915,1920,,FRED,W,FLEMING,,,W
JOHN T SCOTT,11,Dallas,A,1.0,,,,,,,,,Houston,Texas,President,First National Bank of Houston,Banking,W,M,1869,46,,,,,,,,1915,1923,,JOHN,T,SCOTT,,,T
WILLIAM F RAMSEY,11,Dallas,C Chair,,JD,Law,Trinity University,1877,,,,,Dallas,Texas,President,National Bank of Cleburne,Banking,W,M,1855,60,,,,,,,,1915,1921,,WILLIAM,F,RAMSEY,,,F
WILLIAM B NEWSOME,11,Dallas,C Dep. Chair,,,,,,,,,,Dallas,Texas,President,Collin County National Bank of McKinney,Banking,W,M,1852,63,,,,,,,,1915,1921,,WILLIAM,B,NEWSOME,,,B
WALTON N MOORE,12,San Francisco,C Dep. Chair,,,,,,,,,,San Francisco,California,President,Walton N. Moore Dry Goods Company,Wholesale & Retail Trade,W,M,1864,51,,,,,,,,1915,1915,,WALTON,N,MOORE,,,N
CHARLES STAREK,2,New York,C,,,,,,,,,,New York,New York,National Bank Examiner,Office of the Comptroller of the Currency,Financial Services (non-banking),W,M,,,,,,,,,,1915,1915,,CHARLES,,STAREK,,,
GEORGE FOSTER PEABODY,2,New York,C Dep. Chair,,,,,,,,,,Saratoga Springs,New York,Partner,Spencer Trask & Company,Information Technology,W,M,1852,63,,,,,,,,1915,1920,,GEORGE,FOSTER,PEABODY,,,F
CLAUDE GATCH,12,San Francisco,C,,,,,,,,,,San Francisco,California,National Bank Examiner,Office of the Comptroller of the Currency,Consumer/Community,W,M,1859,56,,,,,,,,1915,1915,,CLAUDE,,GATCH,,,
THOMAS WELLS FARNAM,1,Boston,A,2.0,Bachelor's,,Yale University,1899,,,,,New Haven,Connecticut,Vice President,"New Haven Bank, N.B.A.",Banking,W,M,1877,39,,,,,,,,1916,1918,,THOMAS,WELLS,FARNAM,,,W
WILLIAM LAWRENCE SAUNDERS,2,New York,C,,Bachelor's,,University of Pennsylvania,,,,,,New York,New York,Chairman,Ingersoll-Rand Company,Manufacturing,W,M,1856,60,,,,,,,,1916,1920,,WILLIAM,LAWRENCE,SAUNDERS,,,L
J DAVIS BRODHEAD,3,Philadelphia,C,,JD,Law,,,,,,,Bethlehem,Pennsylvania,Judge,Northampton County,Law,W,M,1859,57,,,,,,,,1916,1916,,J,DAVIS,BRODHEAD,,,D
HENRY B THOMPSON,3,Philadelphia,C Dep. Chair,,,,,,,,,,Wilmington,Delaware,President,U.S. Fishing Co.,Agriculture & Food Processing,W,M,1857,59,,,,,,,,1916,1923,,HENRY,B,THOMPSON,,,B
ROSS PIER WRIGHT,4,Cleveland,B,2.0,,,,,,,,,Erie,Pennsylvania,Secretary & Treasurer,Reed Manufacturing Co.,Manufacturing,W,M,1874,42,,,,,,,,1916,1949,,ROSS,PIER,WRIGHT,,,P
CALDWELL HARDY,5,Richmond,C Chair,,Bachelor's,,Brooklyn Polytechnic Institute,,,,,,Norfolk,Virginia,President,Norfolk National Bank,Banking,W,M,1852,64,,,,,,,,1916,1922,,CALDWELL,,HARDY,,,
JOHN W BLODGETT,7,Chicago,B,1.0,,,,,,,,,Grand Rapids,Michigan,Founder,"Blodgett Co., Ltd.",Manufacturing,W,M,1861,55,,,,,,,,1916,1921,,JOHN,W,BLODGETT,,,W
WILLIAM AMES HEATH,7,Chicago,C Chair,,Bachelor's,,University of Illinois,,,,,,Evanston,Illinois,President,Live Stock Exchange National Bank,Banking,W,M,1864,52,,,,,,,,1916,1930,,WILLIAM,AMES,HEATH,,,A
SAM A ZIEGLER,8,St. Louis,A,3.0,Bachelor's,,Northwestern University,,,,,,Albion,Illinois,Cashier,Albion National Bank,Banking,W,M,1883,33,,,,,,,,1916,1921,,SAM,A,ZIEGLER,,,A
HARRISON W GIBSON,10,Kansas City,B,3.0,,,,,,,,,Muskogee,Oklahoma,Secretary,First National Bank of Muskogee,Banking,W,M,1869,47,,,,,,,,1916,1925,,HARRISON,W,GIBSON,,,W
HORACE O WOOTEN,11,Dallas,C,,,,,,,,,,Abilene,Texas,Owner,H.O. Grocer Company,Wholesale & Retail Trade,W,M,1866,50,,,,,,,,1916,1921,,HORACE,O,WOOTEN,,,O
EC BRADLEY,12,San Francisco,C Dep. Chair,,,,,,,,,,San Francisco,California,Vice President,Pacific Telephone & Telegraph Co.,Telecommunications,W,M,1856,60,,,,,,,,1916,1916,,EC,,BRADLEY,,,
WALTON N MOORE,12,San Francisco,C Chair,,,,,,,,,,San Francisco,California,President,Walton N. Moore Dry Goods Company,Wholesale & Retail Trade,W,M,1864,52,,,,,,,,1916,1916,,WALTON,N,MOORE,,,N
JOHN PERRIN,12,San Francisco,C,,Bachelor's,,Yale University,1879,,,,,Pasadena,California,President,American National Bank of Indianapolis,Banking,W,M,1857,59,,,,,,,,1916,1916,,JOHN,,PERRIN,,,
"JOSEPH WAYNE, JR",3,Philadelphia,A,1.0,,,,,,,,,Philadelphia,Pennsylvania,President,Girard National Bank of Philadelphia,Banking,W,M,1873,44,,,,,,,,1917,1941,,JOSEPH,,WAYNE,JR,,
CHARLES C HARRISON,3,Philadelphia,C,,Master's,,University of Pennsylvania,1865,,,,,Philadelphia,Pennsylvania,President of the Board of the Managers,University of Pennsylvania Museum,Nonprofit/Business Groups,W,M,1844,73,,,,,,,,1917,1923,,CHARLES,C,HARRISON,,,C
PETER R KITTLES,6,Atlanta,A,3.0,,,,,,,,,Sylvania,Georgia,President,National Bank of Sylvania,Banking,W,M,1874,43,,,,,,,,1917,1925,,PETER,R,KITTLES,,,R
EDGAR B STERN,6,Atlanta,B,1.0,Master's,,Harvard University,1908,,,,,New Orleans,Louisiana,Treasurer,"Lehman, Stern, and Company, Ltd.",Wholesale & Retail Trade,W,M,1886,31,,,,,,,,1917,1917,,EDGAR,B,STERN,,,B
JAMES SIMPSON,7,Chicago,C Dep. Chair,,,,,,,,,,Chicago,Illinois,President,Marshall Field and Company,Wholesale & Retail Trade,W,M,1875,42,,,,,,,,1917,1935,,JAMES,,SIMPSON,,,
CHARLES PJ MOONEY,8,St. Louis,C,,Bachelor's,,,1888,,,,,Memphis,Tennessee,Editor,Commercial Appeal,Publishing,W,M,1868,49,,,,,,,,1917,1925,,CHARLES,PJ,MOONEY,,,P
JE FISHBURN,12,San Francisco,A,2.0,,,,,,,,,Los Angeles,California,President,Merchants National Bank of Los Angeles,Banking,W,M,,,,,,,,,,1917,1919,,JE,,FISHBURN,,,
EDWARD G ELLIOTT,12,San Francisco,C,,JD,Law,,,PhD,,Heidelburg University,1902,Berkeley,California,Professor of International Law,University of California,Education,W,M,,,,,,,,,,1917,1919,,EDWARD,G,ELLIOTT,,,G
WALTON N MOORE,12,San Francisco,C Dep. Chair,,,,,,,,,,San Francisco,California,President,Walton N. Moore Dry Goods Company,Wholesale & Retail Trade,W,M,1864,53,,,,,,,,1917,1935,,WALTON,N,MOORE,,,N
"ALLEN HOLLIS, SR",1,Boston,C Dep. Chair,,,,,,,,,,Concord,New Hampshire,Attorney,Attorney,Law,W,M,1871,46,,,,,,,,1917,1936,,ALLEN,,HOLLIS,SR,,
JOHN W BOEHNE,8,St. Louis,C Dep. Chair,,Bachelor's,,Evansville College,,,,,,Evansville,Indiana,Former Congressman,US House of Representatives,Consumer/Community,W,M,1857,60,,,,,,,,1917,1931,,JOHN,W,BOEHNE,,,W
JOHN PERRIN,12,San Francisco,C Chair,,Bachelor's,,Yale University,1879,,,,,Pasadena,California,President,American National Bank of Indianapolis,Banking,W,M,1857,60,,,,,,,,1917,1925,,JOHN,,PERRIN,,,
EDWARD S KENNARD,1,Boston,A,3.0,,,,,,,,,New Haven,Connecticut,Cashier,Rumford National Bank of New Haven,Banking,W,M,,,,,,,,,,1918,1933,,EDWARD,S,KENNARD,,,S
PHILIP R ALLEN,1,Boston,B,1.0,Bachelor's,,Yale University,1896,,,,,East Walpole,Massachusetts,Chairman,"Bird & Son, Inc.",Real Estate & Construction,W,M,1873,45,,,,,,,,1918,1950,,PHILIP,R,ALLEN,,,R
JESSE H METCALF,1,Boston,C,,,,,,,,,,Providence,New Hampshire,President,Wansuck Co.,Manufacturing,W,M,1860,58,,,,,,,,1918,1923,,JESSE,H,METCALF,,,H
CHARLES SMITH,2,New York,A,3.0,,,,,,,,,Oneonta,New York,President,Citizens National Bank of Oneonta,Banking,W,M,1855,63,,,,,,,,1918,1923,,CHARLES,,SMITH,,,
FRANCIS DOUGLAS,3,Philadelphia,A,2.0,,,,,,,,,Wilkes-Barre,Pennsylvania,Cashier,First National Bank of Wilkes-Barre,Banking,W,M,1860,58,,,,,,,,1918,1926,,FRANCIS,,DOUGLAS,,,
CHARLES K HADDON,3,Philadelphia,B,3.0,,,,,,,,,Camden,New Jersey,Vice President,Victor Talking Machine Co.,Telecommunications,W,M,1867,51,,,,,,,,1918,1926,,CHARLES,K,HADDON,,,K
ON SAMS,4,Cleveland,A,3.0,,,,,,,,,Hillsboro,Ohio,President,Merchants National Bank of Hillsboro,Banking,W,M,1862,56,,,,,,,,1918,1931,,ON,,SAMS,,,
CHARLES E REIMAN,5,Richmond,A,1.0,Bachelor's,,Princeton University,1892,,,,,Baltimore,Maryland,President,Western National Bank of Baltimore,Banking,W,M,,,,,,,,,,1918,1945,,CHARLES,E,REIMAN,,,E
HOWARD BRUCE,5,Richmond,C,,Bachelor's,,Virginia Military Institute,,,,,,Baltimore,Maryland,President,Bartlett-Hayward Co.,"Energy, Mining, & Extraction",W,M,1879,39,,,,,,,,1918,1920,,HOWARD,,BRUCE,,,
JOHN K OTTLEY,6,Atlanta,A,1.0,,,,,,,,,Atlanta,Georgia,Vice President,Fourth National Bank of Atlanta,Banking,W,M,1870,48,,,,,,,,1918,1923,,JOHN,K,OTTLEY,,,K
JAMES E ZUNTS,6,Atlanta,B,1.0,,,,,,,,,New Orleans,Louisiana,Partner,"Zunts, Cooper & Westerfield",Law,W,M,1861,57,,,,,,,,1918,1918,,JAMES,E,ZUNTS,,,E
ALBERT RUSSEL ERSKINE,7,Chicago,B,2.0,,,,,,,,,South Bend,Indiana,President,Studebaker Corporation,Manufacturing,W,M,1872,46,,,,,,,,1918,1921,,ALBERT,RUSSEL,ERSKINE,,,R
JAMES C UTTERBACK,8,St. Louis,A,2.0,,,,,,,,,Paducah,Kentucky,President,City National Bank of Paducah,Banking,W,M,1873,45,,,,,,,,1918,1926,,JAMES,C,UTTERBACK,,,C
WESLEY C MCDOWELL,9,Minneapolis,A,3.0,,,,,,,,,Marion,North Dakota,President,First National Bank of Marion,Banking,W,M,1871,47,,,,,,,,1918,1926,,WESLEY,C,MCDOWELL,,,C
ASA E RAMSAY,10,Kansas City,C Chair,,,,,,,,,,Kansas City,Missouri,Vice President,First National Bank of Muskogee,Banking,W,M,1870,48,,,,,,,,1918,1922,,ASA,E,RAMSAY,,,E
MA BUCHAN,12,San Francisco,A,3.0,,,,,,,,,Palo Alto,California,President,First National Bank of Palo Alto,Banking,W,M,1858,60,,,,,,,,1918,1923,,MA,,BUCHAN,,,
OSCAR W NEWTON,6,Atlanta,A,2.0,Bachelor's,,Southwestern Presbyterian College,,,,,,Atlanta,Georgia,President,Jackson State National Bank of Atlanta,Banking,W,M,1877,42,"President, FRB Atlanta",,,,"President, FRB Atlanta",1936,1939,1919,1923,,OSCAR,W,NEWTON,,,W
ROLLA WELLS,8,St. Louis,B,1.0,,,,,,,,,St. Louis,Missouri,President,Wells Realty & Investment Co.,Real Estate Brokerage,W,M,1856,63,"Governor, FRB St. Louis","Governor, FRB St. Louis",1914,1919,,,,1919,1927,,ROLLA,,WELLS,,,
THEODORE WOLD,9,Minneapolis,A,1.0,,,,,,,,,Minneapolis,Minnesota,President,Scandinavian National Bank of Minneapolis,Banking,W,M,1868,51,"Governor, FRB Minneapolis","Governor, FRB Minneapolis",1914,1919,,,,1919,1924,,THEODORE,,WOLD,,,
JOSEPH A MCCORD,6,Atlanta,C Chair,,,,,,,,,,Atlanta,Georgia,Vice President,Third National Bank of Atlanta,Banking,W,M,1857,62,"Governor, FRB Atlanta","Governor, FRB Atlanta",1914,1919,,,,1919,1923,,JOSEPH,A,MCCORD,,,A
FREDERICK S CHAMBERLAIN,1,Boston,A,2.0,,,,,,,,,New Britain,Connecticut,Cashier,New Britain National Bank,Banking,W,M,1872,47,,,,,,,,1919,1935,,FREDERICK,S,CHAMBERLAIN,,,S
JAMES S ALEXANDER,2,New York,A,1.0,,,,,,,,,New York,New York,President,National Bank of Commerce of New York,Banking,W,M,1865,54,,,,,,,,1919,1921,,JAMES,S,ALEXANDER,,,S
CHARLES A STONE,2,New York,B,1.0,,,,,,,,,New York,New York,President,American International Corporation,Banking,W,M,1867,52,,,,,,,,1919,1921,,CHARLES,A,STONE,,,A
CHESS LAMBERTON,4,Cleveland,A,2.0,,,,,,,,,Franklin,Pennsylvania,Cashier,Lamberton Savings Bank,Banking,W,M,1877,42,,,,,,,,1919,1937,,CHESS,,LAMBERTON,,,
LEWIS BLAIR WILLIAMS,4,Cleveland,C Dep. Chair,,Bachelor's,,Western Reserve University,1902,,,,,Cleveland,Ohio,Chairman,"Hayden, Miller & Co.",Financial Services (non-banking),W,M,1879,40,,,,,,,,1919,1931,,LEWIS,BLAIR,WILLIAMS,,,B
LEON C SIMON,6,Atlanta,B,1.0,,,,,,,,,New Orleans,Louisiana,President,New Orleans Association of Commerce,Consumer/Community,W,M,1877,42,,,,,,,,1919,1935,,LEON,C,SIMON,,,C
CHARLES H MCNIDER,7,Chicago,A,2.0,,,,,,,,,Mason City,Iowa,President,First National Bank of Mason City,Banking,W,M,1861,58,,,,,,,,1919,1927,,CHARLES,H,MCNIDER,,,H
CHARRY BENEDICT,9,Minneapolis,C,,,,,,,,,,Lake Linden,Michigan,Chemist,Calumet and Hecla Mining Company,"Energy, Mining, & Extraction",W,M,1877,42,,,,,,,,1919,1921,,CHARRY,,BENEDICT,,,
RICHARD H WILLIAMS,2,New York,B,2.0,,,,,,,,,Madison,New Jersey,Senior Partner,William & Peters,"Energy, Mining, & Extraction",W,M,1854,66,,,,,,,,1920,1922,,RICHARD,H,WILLIAMS,,,H
LEWIS EDGAR JOHNSON,5,Richmond,A,3.0,,,,,,,,,Alderson,West Virginia,President,First National Bank of Alderson,Banking,W,M,1860,60,,,,,,,,1920,1941,,LEWIS,EDGAR,JOHNSON,,,E
FRANK C BALL,7,Chicago,C,,,,,,,,,,Muncie,Indiana,President,Ball Brothers Company,Manufacturing,W,M,1857,63,,,,,,,,1920,1934,,FRANK,C,BALL,,,C
JOHN G LONSDALE,8,St. Louis,A,1.0,,,,,,,,,St. Louis,Missouri,President,National Bank of Commerce of St. Louis,Banking,W,M,1873,47,,,,,,,,1920,1938,,JOHN,G,LONSDALE,,,G
EDWARD E MULLANEY,10,Kansas City,A,3.0,,,,,,,,,Hill City,Kansas,President,Farmers & Merchants Bank of Kansas,Banking,W,M,1867,53,,,,,,,,1920,1941,,EDWARD,E,MULLANEY,,,E
ED HALL,11,Dallas,A,2.0,,,,,,,,,Bryan,Texas,President,First State Bank & Trust Company of Bryan,Banking,W,M,1861,59,,,,,,,,1920,1920,,ED,,HALL,,,
JOHN WILLIS BAER,12,San Francisco,A,2.0,,,,,,,,,Pasadena,California,Vice President,First National Trust & Savings Bank of Pasadena,Banking,W,M,1861,59,,,,,,,,1920,1922,,JOHN,WILLIS,BAER,,,W
WILLIAM SPROULE,12,San Francisco,C,,Bachelor's,,Dublin University,,,,,,San Francisco,California,President & Director,"Southern Pacific Company
Central Pacific Railroad Co. and Southern Pacific Railroad Co.",Transportation,W,M,1858,62,,,,,,,,1920,1932,,WILLIAM,,SPROULE,,,
JC BASSETT,9,Minneapolis,A,2.0,,,,,,,,,Aberdeen,South Dakota,President,Aberdeen National Bank,Banking,W,M,1865,55,,,,,,,,1920,1930,,JC,,BASSETT,,,
FREDERIC A DELANO,5,Richmond,C,,Bachelor's,,Harvard University,1885,,,,,Washington,D.C.,President,Monon Railroad,Transportation,W,M,1863,58,"Member, Federal Reserve Board & Vice Governor, Federal Reserve Board","Member, Federal Reserve Board",1914,1918,,,,1921,1921,,FREDERIC,A,DELANO,,,A
DAVID C WILLS,4,Cleveland,C Chair,,,,,,,,,,Bellevue,Pennsylvania,President,Citizens National Bank of Bellevue,Banking,W,M,1872,49,"Member, Federal Reserve Board","Member, Federal Reserve Board",1920,1921,,,,1921,1924,,DAVID,C,WILLS,,,C
FRANK L STEVENS,2,New York,B,3.0,,,,,,,,,North Hoosick,New York,President,"Stevens & Thompson, Inc.",Manufacturing,W,M,1865,56,,,,,,,,1921,1923,,FRANK,L,STEVENS,,,L
CLARENCE M WOOLLEY,2,New York,C,,,,,,,,,,New York,New York,President,American Radiator Company,Manufacturing,W,M,1863,58,,,,,,,,1921,1936,,CLARENCE,M,WOOLLEY,,,M
WW KNIGHT,4,Cleveland,C,,,,,,,,,,Toledo,Ohio,Vice President,Bostwick-Braun Co.,Wholesale & Retail Trade,W,M,1878,43,,,,,,,,1921,1936,,WW,,KNIGHT,,,
EDWIN C GRAHAM,5,Richmond,B,3.0,,,,,,,,,Washington,D.C.,President,National Electrical Supply Co.,Utilities,W,M,,,,,,,,,,1921,1932,,EDWIN,C,GRAHAM,,,C
LINDSEY HOPKINS,6,Atlanta,C,,,,,,,,,,Atlanta,Georgia,Investor,,Financial Services (non-banking),W,M,1880,41,,,,,,,,1921,1926,,LINDSEY,,HOPKINS,,,
HOMER P CLARK,9,Minneapolis,C Dep. Chair,,JD,Law,University of Minnesota,1894,,,,,St. Paul,Minnesota,Chairman,West Publishing Co.,Publishing,W,M,1869,52,,,,,,,,1921,1936,,HOMER,P,CLARK,,,P
HEBER HORD,10,Kansas City,C Dep. Chair,,,,,,,,,,Central City,Nebraska,Rancher,Lakeside Ranch Company,Agriculture & Food Processing,W,M,1880,41,,,,,,,,1921,1926,,HEBER,,HORD,,,
HOWELL E SMITH,11,Dallas,A,2.0,,,,,,,,,McKinney,Texas,President,First National Bank of McKinney,Banking,W,M,1864,57,,,,,,,,1921,1929,,HOWELL,E,SMITH,,,E
WILLIAM T SESNON,12,San Francisco,B,2.0,,,,,,,,,San Francisco,California,Agriculturist,Sesnon Farm,Agriculture & Food Processing,W,M,1860,61,,,,,,,,1921,1928,,WILLIAM,T,SESNON,,,T
WILLIAM LAWRENCE SAUNDERS,2,New York,C Dep. Chair,,Bachelor's,,University of Pennsylvania,,,,,,Plainfield,New Jersey,Chairman,Ingersoll-Rand Company,Manufacturing,W,M,1856,65,,,,,,,,1921,1925,,WILLIAM,LAWRENCE,SAUNDERS,,,L
FRED W FLEMING,10,Kansas City,C,,,,,,,,,,Kansas City,Missouri,President,Central Surety and Insurance Corporation,Financial Services (non-banking),W,M,1867,54,,,,,,,,1921,1921,,FRED,W,FLEMING,,,W
WILLIAM H KETTIG,6,Atlanta,C Dep. Chair,,,,,,,,,,Birmingham,Alabama,Manager,Chicago’s Crane Company,Manufacturing,W,M,1863,58,,,,,,,,1921,1936,,WILLIAM,H,KETTIG,,,H
FREDERIC A DELANO,5,Richmond,C Dep. Chair,,Bachelor's,,Harvard University,1885,,,,,Washington,D.C.,President,Monon Railroad,Transportation,W,M,1863,59,"Member, Federal Reserve Board & Vice Governor, Federal Reserve Board","Member, Federal Reserve Board",1914,1918,,,,1922,1935,,FREDERIC,A,DELANO,,,A
GATES WHITE MCGARRAH,2,New York,A,1.0,,,,,,,,,New York,New York,Chairman,Mechanics and Metals National Bank,Banking,W,M,1863,59,,,,,,,,1922,1924,,GATES,WHITE,MCGARRAH,,,W
OWEN D YOUNG,2,New York,B,1.0,JD,Law,Boston University,,,,,,New York,New York,Chairman,General Electric Company,Manufacturing,W,M,1874,48,,,,,,,,1922,1925,,OWEN,D,YOUNG,,,D
JOHN C COSGROVE,3,Philadelphia,A,3.0,Bachelor's,,Penn State University,1907,,,,,Hastings,Pennsylvania,Director,First National Bank of Hastings,Banking,W,M,1886,36,,,,,,,,1922,1933,,JOHN,C,COSGROVE,,,C
ROBERT LASSITER,5,Richmond,C,,Bachelor's,,University of North Carolina,,,,,,Charlotte,North Carolina,Chairman of the Board,Mooresville Cotton Mills,Manufacturing,W,M,1877,45,,,,,,,,1922,1936,,ROBERT,,LASSITER,,,
STANFORD T CRAPO,7,Chicago,B,1.0,Bachelor's,,Yale University,1886,,,,,Detroit,Michigan,Secretary & Treasurer,Huron Portland Cement Company,Manufacturing,W,M,1866,56,,,,,,,,1922,1938,,STANFORD,T,CRAPO,,,T
JOHN C MARTIN,8,St. Louis,A,3.0,,,,,,,,,Salem,Illinois,Vice President & Cashier,Salem National Bank,Banking,W,M,1881,41,,,,,,,,1922,1931,,JOHN,C,MARTIN,,,C
GEORGE W MCCORMICK,9,Minneapolis,C,,,,,,,,,,Menominee,Michigan,Vice President & General Manager,Superior Sugar Refining Co.,Agriculture & Food Processing,W,M,1879,43,,,,,,,,1922,1937,,GEORGE,W,MCCORMICK,,,W
FRANK W SPONABLE,10,Kansas City,A,2.0,,,,,,,,,Paola,Kansas,President,Miami County National Bank,Banking,W,M,1871,51,,,,,,,,1922,1939,,FRANK,W,SPONABLE,,,W
FRED O ROOF,10,Kansas City,C,,,,,,,,,,Denver,Colorado,President,Minnequa Bank of Pueblo,Banking,W,M,1861,61,,,,,,,,1922,1924,,FRED,O,ROOF,,,O
WH PATRICK,11,Dallas,A,3.0,,,,,,,,,Clarendon,Texas,President,First National Bank of Clarendon,Banking,W,M,1865,57,,,,,,,,1922,1934,,WH,,PATRICK,,,
CLARENCE E LINZ,11,Dallas,C,,,,,,,,,,Dallas,Texas,President,Linz Realty Co.,Real Estate Brokerage,W,M,1884,38,,,,,,,,1922,1923,,CLARENCE,E,LINZ,,,E
WILLIAM B NEWSOME,11,Dallas,C Chair,,,,,,,,,,Dallas,Texas,President,Collin County National Bank of McKinney,Banking,W,M,1852,70,,,,,,,,1922,1922,,WILLIAM,B,NEWSOME,,,B
LYNN PORTER TALLEY,11,Dallas,C Chair,,,,,,,,,,Dallas,Texas,Cashier,Lumberman’s National Bank of Houston,Banking,W,M,1881,42,"Governor, FRB Dallas","Governor, FRB Dallas",1925,1931,,,,1923,1924,,LYNN,PORTER,TALLEY,,,P
ALFRED LAWRENCE RIPLEY,1,Boston,A,1.0,Bachelor's,,Yale University,1878,,,,,Boston,Massachusetts,President,Merchants National Bank of Boston,Banking,W,M,1853,70,,,,,,,,1923,1937,,ALFRED,LAWRENCE,RIPLEY,,,L
THEODORE F WHITMARSH,2,New York,B,2.0,,,,,,,,,New York,New York,President,Francis H. Leggett & Company,Transportation,W,M,1869,54,,,,,,,,1923,1932,,THEODORE,F,WHITMARSH,,,F
GEORGE DENT CRABBS,4,Cleveland,B,1.0,,,,,,,,,Cincinnati,Ohio,President,Philip Carey Manufacturing Co.,Manufacturing,W,M,1875,48,,,,,,,,1923,1947,,GEORGE,DENT,CRABBS,,,D
WILLIAM W HOXTON,5,Richmond,C Chair,,,,,,,,,,Richmond,Virginia,Manager,St. Louis Clearing House Association,Banking,W,M,1871,52,,,,,,,,1923,1934,,WILLIAM,W,HOXTON,,,W
ROBERT MUELLER,7,Chicago,B,2.0,,,,,,,,,Decatur,Illinois,Secretary & Treasurer,Mueller Company,Manufacturing,W,M,1864,59,,,,,,,,1923,1929,,ROBERT,,MUELLER,,,
JOSEPH M BERNARDIN,10,Kansas City,B,1.0,,,,,,,,,Kansas City,Missouri,Vice President,Burke Lumber Company,Wholesale & Retail Trade,W,M,1868,55,,,,,,,,1923,1949,,JOSEPH,M,BERNARDIN,,,M
JS MACDONNELL,12,San Francisco,A,2.0,,,,,,,,,Pasadena,California,President,First National Bank of Pasadena,Banking,W,M,1867,56,,,,,,,,1923,1925,,JS,,MACDONNELL,,,
WILLIAM B NEWSOME,11,Dallas,C Dep. Chair,,,,,,,,,,Dallas,Texas,President,Collin County National Bank of McKinney,Banking,W,M,1852,71,,,,,,,,1923,1923,,WILLIAM,B,NEWSOME,,,B
MEADE L MCCLURE,10,Kansas City,C Chair,,,,,,,,,,Kansas City,Missouri,Vice President,Drumm Commission Company,Financial Services (non-banking),W,M,1863,60,,,,,,,,1923,1933,,MEADE,L,MCCLURE,,,L
OSCAR W NEWTON,6,Atlanta,C Chair,,Bachelor's,,Southwestern Presbyterian College,,,,,,Atlanta,Georgia,President,Jackson State National Bank of Atlanta,Banking,W,M,1877,47,"President, FRB Atlanta",,,,"President, FRB Atlanta",1936,1939,1924,1934,,OSCAR,W,NEWTON,,,W
JOHN R MITCHELL,9,Minneapolis,C Chair,,Bachelor's,Philosophy,Yale University,1889,,,,,Minneapolis,Minnesota,President,St. Paul’s Capital National Bank,Banking,W,M,1868,56,"Member, Federal Reserve Board","Member, Federal Reserve Board",1921,1923,,,,1924,1932,,JOHN,R,MITCHELL,,,R
EUGENE R BLACK,6,Atlanta,A,1.0,JD,Law,Atlanta Law School,,,,,,Atlanta,Georgia,President,Atlanta Trust Company,Banking,W,M,1873,51,"Governor, Federal Reserve Board & Governor, FRB Atlanta","Governor, Federal Reserve Board & Governor, FRB Atlanta",1928,1934,,,,1924,1926,,EUGENE,R,BLACK,,,R
CHARLES H MANCHESTER,1,Boston,C,,,,,,,,,,Providence,Rhode Island,President,Providence Gas Co.,"Energy, Mining, & Extraction",W,M,1865,59,,,,,,,,1924,1929,,CHARLES,H,MANCHESTER,,,H
DELMER RUNKLE,2,New York,A,3.0,,,,,,,,,Hoosick Falls,New York,President,Peoples National Bank of Hoosick Falls,Banking,W,M,1856,68,,,,,,,,1924,1930,,DELMER,,RUNKLE,,,
SAMUEL W REYBURN,2,New York,B,3.0,JD,Law,University of Arkansas,1894,,,,,New York,New York,President,Associated Dry Goods Corporation and Lord & Taylor,Wholesale & Retail Trade,W,M,1872,52,,,,,,,,1924,1933,,SAMUEL,W,REYBURN,,,W
HARRY L CANNON,3,Philadelphia,C,,Bachelor's,,Dickinson College,,,,,,Bridgeville,Delaware,President,"H.P Cannon & Sons, Inc.",Agriculture & Food Processing,W,M,1878,46,,,,,,,,1924,1937,,HARRY,L,CANNON,,,L
JH FROST,11,Dallas,A,1.0,,,,,,,,,San Antonio,Texas,President,Frost National Bank of San Antonio,Banking,W,M,1882,42,,,,,,,,1924,1930,,JH,,FROST,,,
SB PERKINS,11,Dallas,C,,,,,,,,,,Dallas,Texas,Owner,Perkins Bros. Department Store,Wholesale & Retail Trade,W,M,1872,52,,,,,,,,1924,1929,,SB,,PERKINS,,,
HOWARD WHIPPLE,12,San Francisco,A,3.0,,,,,,,,,Turlock,California,President,First National Bank of Turlock,Banking,W,M,1881,43,,,,,,,,1924,1927,,HOWARD,,WHIPPLE,,,
CLARENCE E LINZ,11,Dallas,C Dep. Chair,,,,,,,,,,Dallas,Texas,President,Linz Realty Co.,Real Estate Brokerage,W,M,1885,39,,,,,,,,1924,1929,,CLARENCE,E,LINZ,,,E
